id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,opening_name,Number of moves in the opening phase
otoACJCt,True,8,draw,draw,5+10,gaymanipulation,1500,surikki,1017,Amazon Attack,3
CfA6azsA,False,108,resign,black,60+0,vl_bo,1574,gaymanipulation,1500,English Opening: Four Knights System |  Nimzowitsch Variation,7
nIwzJDuQ,False,57,resign,white,60+0,gaymanipulation,1500,vl_bo,1574,Sicilian Defense: Smith-Morra Gambit #2,3
EFTkhRje,True,60,mate,black,15+15,sergeysolo,1405,thatguythatistr,1511,Hungarian Opening,1
CZh2pAw6,True,42,resign,black,20+0,thatguythatistr,1523,ox_brilliant,1477,Old Benoni Defense,2
m1puNrBq,True,46,resign,black,11+4,cresento,1514,thatguythatistr,1512,Queen's Gambit Refused: Marshall Defense,4
RfftItaf,True,41,mate,white,20+0,thatguythatistr,1496,fabiofc86,1546,King's Pawn Game: Beyer Gambit,4
l18qEMjW,True,24,resign,white,5+8,gosette,1433,thatguythatistr,1509,Modern Defense,2
8k62DCXS,True,47,resign,white,10+3,cald-or11,1509,thatguythatistr,1520,Queen's Pawn Game: London System,5
GS87G3uh,True,83,resign,white,10+0,thatguythatistr,1515,fabianaguado,1301,Blackmar-Diemer Gambit,3
CltKaVwC,True,14,resign,black,10+2,checkerssux,1396,thatguythatistr,1507,Sicilian Defense: Snyder Variation,3
gNZXR8LQ,True,63,resign,black,10+1,thatguythatistr,1519,fercho10,1482,Blackmar-Diemer Gambit,3
fHMVqQoL,True,57,resign,black,30+10,thatguythatistr,1531,gaspare954,1521,Old Benoni Defense,2
GrSi9aKi,True,57,mate,white,10+0,thatguythatistr,1522,msg83,1434,French Defense: Rubinstein Variation,6
CPldQ0vA,True,29,resign,black,15+30,broblake18,1222,thatguythatistr,1519,Van't Kruijs Opening,1
rzX9CklY,True,43,resign,white,5+8,forgetfulmoose,1461,thatguythatistr,1532,Sicilian Defense: Franco-Sicilian Variation,6
p82jS8in,True,48,mate,black,10+0,aristotepythagore,1268,thatguythatistr,1528,Sicilian Defense: Old Sicilian,4
rMyIWSI4,True,86,resign,black,20+0,thatguythatistr,1540,ox_brilliant,1505,Old Benoni Defense,2
GPgUH5dC,True,99,resign,white,20+8,thatguythatistr,1531,quickben16,1475,Indian Game,2
ZugCYYZq,True,57,resign,white,30+0,peristolisonassis,1513,thatguythatistr,1542,Queen's Pawn Game #3,4
aIJ9jY0z,True,62,resign,black,15+0,dimdak,1483,thatguythatistr,1533,Scotch Game,7
6LOyA11b,False,80,mate,black,11+0,rabiton,1502,thatguythatistr,1533,Four Knights Game: Scotch Variation Accepted,8
SAFQmiB4,True,123,mate,white,10+0,alsander,1489,thatguythatistr,1545,King's Knight Opening: Konstantinopolsky,5
LHd4nPcw,True,43,resign,black,15+0,thatguythatistr,1560,adamsoun,1430,French Defense: Mediterranean Defense,4
WexXM9Uf,True,74,resign,white,15+10,paulcm85,1550,thatguythatistr,1571,Sicilian Defense: Franco-Sicilian Variation,6
ZuXXHsbe,True,53,resign,white,10+5,thatguythatistr,1562,mixhug,1503,French Defense: Paulsen Variation,5
gseI6YpX,True,43,resign,black,10+8,thatguythatistr,1576,madmongrel,1352,Blackmar-Diemer Gambit,3
bEseRKCR,False,59,mate,white,8+0,imcfarland93,1432,thatguythatistr,1576,Sicilian Defense: Bowdler Attack,3
7sfgoT4c,True,59,mate,white,10+1,thatguythatistr,1570,azharuddin,1370,Pirc Defense: Classical Variation #2,7
4JcCE3kS,True,72,resign,black,10+0,wbrown358,1546,thatguythatistr,1560,Saragossa Opening,1
22wUfal7,True,77,resign,white,10+0,thatguythatistr,1555,ba2016,1361,Blackmar-Diemer Gambit,3
zo9o36C7,False,66,mate,black,20+0,killjoy1234,1459,thatguythatistr,1555,English Opening: Anglo-Lithuanian Variation,2
AgPinXlB,True,31,outoftime,white,8+0,treehouse512,1496,thatguythatistr,1568,Sicilian Defense,4
FNHP214C,True,70,resign,black,25+0,feryred,1527,thatguythatistr,1558,Sicilian Defense: Smith-Morra Gambit #2,3
RjHr2VLL,True,80,mate,black,10+1,thatguythatistr,1570,aart7778797,1538,Queen's Pawn,2
spglCbDe,True,132,mate,black,10+0,thatguythatistr,1583,xtianjr,1496,Blackmar-Diemer Gambit,3
vWm6K2ml,True,43,mate,white,5+8,thatguythatistr,1574,nemanjanjanja,1510,Dutch Defense: Omega-Isis Gambit,4
pNLdJNKv,True,40,mate,black,5+8,nemanjanjanja,1520,thatguythatistr,1565,Sicilian Defense: McDonnell Attack,3
CyNe0773,True,47,mate,white,5+8,thatguythatistr,1554,nemanjanjanja,1530,Dutch Defense: Omega-Isis Gambit,4
615NKUYx,True,7,outoftime,white,5+8,thatguythatistr,1549,sayul,1344,Englund Gambit,2
Knf3emIV,True,12,resign,black,5+8,sayul,1500,thatguythatistr,1543,Sicilian Defense: Bowdler Attack,3
0VnfuC8z,True,70,resign,black,20+0,leodariico,1537,thatguythatistr,1532,Sicilian Defense: Old Sicilian,4
OwDxgl3H,True,62,resign,white,8+0,jlb78,1470,thatguythatistr,1545,Sicilian Defense: Alapin Variation,3
ealShOUH,True,64,resign,black,10+0,thatguythatistr,1556,bus1408,1550,Blackmar-Diemer Gambit,3
vT9ZAq9l,True,62,mate,black,20+0,ox_brilliant,1493,thatguythatistr,1546,Zukertort Opening: Black Mustang Defense,2
XxyNZW6o,True,28,resign,black,25+0,linechess,1519,thatguythatistr,1536,Queen's Pawn Game: Colle System,5
YQc4n3gX,True,59,mate,white,10+0,thatguythatistr,1518,mdguven,1823,Blackmar-Diemer Gambit: Zeller Defense,6
b5Y0lGoM,True,81,resign,white,10+0,yyo,1529,thatguythatistr,1528,Philidor Defense #3,5
bwWbBICm,True,52,mate,black,6+10,thatguythatistr,1539,radovankaluza,1533,Blackmar-Diemer Gambit: Netherlands Variation,6
mbFnBUJd,True,81,resign,white,10+0,taoufiq1,1724,thatguythatistr,1561,Four Knights Game: Spanish Variation,7
WczZmh2N,True,11,resign,white,10+5,ststephen,1293,hockeytv,1048,Russian Game: Damiano Variation |  Kholmov Gambit,8
AZm8oHjW,True,9,resign,white,12+3,civata,1422,hockeytv,1065,King's Pawn Game: Wayward Queen Attack,3
r5Grjn9S,True,7,resign,white,8+10,haamza,1861,hockeytv,1066,Scandinavian Defense: Mieses-Kotroc Variation,4
yz1me4nm,True,32,mate,black,10+0,hockeytv,1075,rava,1524,Van't Kruijs Opening,1
2megnvKB,True,6,resign,black,10+0,hockeytv,1102,whynot46,1323,Van't Kruijs Opening,1
abuQvd0V,True,57,mate,white,10+0,radikalguru,1282,hockeytv,1161,Grob Opening,1
bGv04JRy,True,42,mate,black,10+0,hockeytv,1244,radikalguru,1273,Van't Kruijs Opening,1
FsZ4Lwjo,True,47,mate,white,10+0,staboola,1482,hockeytv,1311,French Defense: Normal Variation,3
5bBhJ2pk,False,25,mate,white,5+20,shatranz,1500,hockeytv,1311,King's Knight Opening,3
qcLDBTC4,True,152,mate,black,10+0,danichivas,1708,dkattir,1726,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
rGEfv1Ll,True,51,mate,white,10+0,bouvard,1759,dkattir,1737,Sicilian Defense: Old Sicilian,4
DQjEdwt7,True,93,outoftime,white,10+0,dkattir,1725,iiieuh,1742,Slav Defense #2,5
iJImOZtl,True,51,resign,white,15+0,suren1968,1484,dkattir,1743,Queen's Pawn Game: Veresov Attack |  Classical Defense,7
VOBMvY24,True,49,resign,black,10+0,dkattir,1750,pavel_fantasma,1684,Queen's Gambit Declined: Three Knights Variation,7
lTxaAQ2p,True,17,mate,white,10+0,benisio2011,1576,dkattir,1767,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
6YGPajN1,True,89,resign,black,10+0,dkattir,1771,aljaci,1588,Queen's Gambit Accepted,4
